source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,0,3.0,9.1,AVAILABLE,35.0,240.0,672.0,554.7837753295898,714.1066131591797,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,1,3.0,14.4,AVAILABLE,21.7,554.7837753295898,672.0,790.5376510620117,714.1066131591797,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,2,3.0,19.6,AVAILABLE,16.1,790.5376510620117,672.0,1030.0081787109375,714.1066131591797,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,3,3.0,24.9,NOT_AVAILABLE,,1030.0081787109375,672.0,1269.4786834716797,714.1066131591797,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,4,3.0,30.1,NOT_AVAILABLE,,1269.4786834716797,672.0,1545.0,714.1066131591797,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,0,3.5,9.1,AVAILABLE,31.0,240.0,714.1066131591797,554.7837753295898,741.7740325927734,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,1,3.5,14.4,AVAILABLE,20.75,554.7837753295898,714.1066131591797,790.5376510620117,741.7740325927734,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,2,3.5,19.6,AVAILABLE,15.0,790.5376510620117,714.1066131591797,1030.0081787109375,741.7740325927734,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,3,3.5,24.9,AVAILABLE,12.9,1030.0081787109375,714.1066131591797,1269.4786834716797,741.7740325927734,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,4,3.5,30.1,NOT_AVAILABLE,,1269.4786834716797,714.1066131591797,1545.0,741.7740325927734,false,,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,2,0,4.0,9.1,AVAILABLE,28.4,240.0,741.7740325927734,554.7837753295898,769.4414520263672,false,,AI visual transcription candidate; requires independent PDF review
