source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,0,0,3.0,9.1,,,240.0,672.0,665.3374099731445,713.9341278076172,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,0,1,3.0,14.4,,,665.3374099731445,672.0,901.09130859375,713.9341278076172,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,0,2,3.0,19.6,,,901.09130859375,672.0,1140.5618133544922,713.9341278076172,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,0,3,3.0,24.9,,,1140.5618133544922,672.0,1545.0,713.9341278076172,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,1,0,3.5,9.1,,,240.0,713.9341278076172,665.3374099731445,741.6015472412109,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,1,1,3.5,14.4,,,665.3374099731445,713.9341278076172,901.09130859375,741.6015472412109,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,1,2,3.5,19.6,,,901.09130859375,713.9341278076172,1140.5618133544922,741.6015472412109,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,1,3,3.5,24.9,,,1140.5618133544922,713.9341278076172,1545.0,741.6015472412109,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,2,0,4.0,9.1,,,240.0,741.6015472412109,665.3374099731445,769.2689666748047,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,2,1,4.0,14.4,,,665.3374099731445,741.6015472412109,901.09130859375,769.2689666748047,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,2,2,4.0,19.6,,,901.09130859375,741.6015472412109,1140.5618133544922,769.2689666748047,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,2,3,4.0,24.9,,,1140.5618133544922,741.6015472412109,1545.0,769.2689666748047,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,3,0,4.5,9.1,,,240.0,769.2689666748047,665.3374099731445,796.9363861083984,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,3,1,4.5,14.4,,,665.3374099731445,769.2689666748047,901.09130859375,796.9363861083984,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,3,2,4.5,19.6,,,901.09130859375,769.2689666748047,1140.5618133544922,796.9363861083984,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,3,3,4.5,24.9,,,1140.5618133544922,769.2689666748047,1545.0,796.9363861083984,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,4,0,5.0,9.1,,,240.0,796.9363861083984,665.3374099731445,824.6038055419922,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,4,1,5.0,14.4,,,665.3374099731445,796.9363861083984,901.09130859375,824.6038055419922,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,4,2,5.0,19.6,,,901.09130859375,796.9363861083984,1140.5618133544922,824.6038055419922,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,4,3,5.0,24.9,,,1140.5618133544922,796.9363861083984,1545.0,824.6038055419922,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,5,0,6.0,9.1,,,240.0,824.6038055419922,665.3374099731445,852.2712249755859,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,5,1,6.0,14.4,,,665.3374099731445,824.6038055419922,901.09130859375,852.2712249755859,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,5,2,6.0,19.6,,,901.09130859375,824.6038055419922,1140.5618133544922,852.2712249755859,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,5,3,6.0,24.9,,,1140.5618133544922,824.6038055419922,1545.0,852.2712249755859,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,6,0,7.0,9.1,,,240.0,852.2712249755859,665.3374099731445,879.9386444091797,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,6,1,7.0,14.4,,,665.3374099731445,852.2712249755859,901.09130859375,879.9386444091797,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,6,2,7.0,19.6,,,901.09130859375,852.2712249755859,1140.5618133544922,879.9386444091797,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,6,3,7.0,24.9,,,1140.5618133544922,852.2712249755859,1545.0,879.9386444091797,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,7,0,8.0,9.1,,,240.0,879.9386444091797,665.3374099731445,907.6060638427734,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,7,1,8.0,14.4,,,665.3374099731445,879.9386444091797,901.09130859375,907.6060638427734,false,,Direct independent PDF review required; no parser value supplied.
