source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,0,3.0,9.1,,,162.0,840.0,402.5633354187012,909.5272064208984,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,1,3.0,14.4,,,402.5633354187012,840.0,514.1577072143555,909.5272064208984,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,2,3.0,19.6,,,514.1577072143555,840.0,629.4686965942383,909.5272064208984,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,3,3.0,24.9,,,629.4686965942383,840.0,744.7797088623047,909.5272064208984,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,4,3.0,30.1,,,744.7797088623047,840.0,876.0,909.5272064208984,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,0,3.5,9.1,,,162.0,909.5272064208984,402.5633354187012,937.1946258544922,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,1,3.5,14.4,,,402.5633354187012,909.5272064208984,514.1577072143555,937.1946258544922,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,2,3.5,19.6,,,514.1577072143555,909.5272064208984,629.4686965942383,937.1946258544922,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,3,3.5,24.9,,,629.4686965942383,909.5272064208984,744.7797088623047,937.1946258544922,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,4,3.5,30.1,,,744.7797088623047,909.5272064208984,876.0,937.1946258544922,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,2,0,4.0,9.1,,,162.0,937.1946258544922,402.5633354187012,964.8620452880859,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,2,1,4.0,14.4,,,402.5633354187012,937.1946258544922,514.1577072143555,964.8620452880859,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,2,2,4.0,19.6,,,514.1577072143555,937.1946258544922,629.4686965942383,964.8620452880859,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,2,3,4.0,24.9,,,629.4686965942383,937.1946258544922,744.7797088623047,964.8620452880859,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,2,4,4.0,30.1,,,744.7797088623047,937.1946258544922,876.0,964.8620452880859,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,3,0,4.5,9.1,,,162.0,964.8620452880859,402.5633354187012,992.5295104980469,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,3,1,4.5,14.4,,,402.5633354187012,964.8620452880859,514.1577072143555,992.5295104980469,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,3,2,4.5,19.6,,,514.1577072143555,964.8620452880859,629.4686965942383,992.5295104980469,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,3,3,4.5,24.9,,,629.4686965942383,964.8620452880859,744.7797088623047,992.5295104980469,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,3,4,4.5,30.1,,,744.7797088623047,964.8620452880859,876.0,992.5295104980469,false,,Direct independent PDF review required; no parser value supplied.
