source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,0,0,3,9.1,NOT_AVAILABLE,,876,840,1150.898071,909.5273895,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,0,1,3,14.4,NOT_AVAILABLE,,1150.898071,840,1262.492477,909.5273895,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,0,2,3,19.6,NOT_AVAILABLE,,1262.492477,840,1377.803513,909.5273895,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,0,3,3,24.9,NOT_AVAILABLE,,1377.803513,840,1493.114525,909.5273895,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,0,4,3,30.1,NOT_AVAILABLE,,1493.114525,840,1623,909.5273895,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,1,0,3.5,9.1,NOT_AVAILABLE,,876,909.5273895,1150.898071,937.194809,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,1,1,3.5,14.4,NOT_AVAILABLE,,1150.898071,909.5273895,1262.492477,937.194809,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,1,2,3.5,19.6,NOT_AVAILABLE,,1262.492477,909.5273895,1377.803513,937.194809,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,1,3,3.5,24.9,NOT_AVAILABLE,,1377.803513,909.5273895,1493.114525,937.194809,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,1,4,3.5,30.1,NOT_AVAILABLE,,1493.114525,909.5273895,1623,937.194809,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,2,0,4,9.1,AVAILABLE,3.3,876,937.194809,1150.898071,964.8622284,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,2,1,4,14.4,NOT_AVAILABLE,,1150.898071,937.194809,1262.492477,964.8622284,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,2,2,4,19.6,NOT_AVAILABLE,,1262.492477,937.194809,1377.803513,964.8622284,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,2,3,4,24.9,NOT_AVAILABLE,,1377.803513,937.194809,1493.114525,964.8622284,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,2,4,4,30.1,NOT_AVAILABLE,,1493.114525,937.194809,1623,964.8622284,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,3,0,4.5,9.1,AVAILABLE,3.2,876,964.8622284,1150.898071,992.5296936,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,3,1,4.5,14.4,NOT_AVAILABLE,,1150.898071,964.8622284,1262.492477,992.5296936,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,3,2,4.5,19.6,NOT_AVAILABLE,,1262.492477,964.8622284,1377.803513,992.5296936,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,3,3,4.5,24.9,NOT_AVAILABLE,,1377.803513,964.8622284,1493.114525,992.5296936,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,3,4,4.5,30.1,NOT_AVAILABLE,,1493.114525,964.8622284,1623,992.5296936,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,4,0,5,9.1,AVAILABLE,3.1,876,992.5296936,1150.898071,1020.197205,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,4,1,5,14.4,AVAILABLE,3.5,1150.898071,992.5296936,1262.492477,1020.197205,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,4,2,5,19.6,NOT_AVAILABLE,,1262.492477,992.5296936,1377.803513,1020.197205,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,4,3,5,24.9,NOT_AVAILABLE,,1377.803513,992.5296936,1493.114525,1020.197205,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,4,4,5,30.1,NOT_AVAILABLE,,1493.114525,992.5296936,1623,1020.197205,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,5,0,6,9.1,AVAILABLE,2.9,876,1020.197205,1150.898071,1047.864716,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,5,1,6,14.4,AVAILABLE,3.4,1150.898071,1020.197205,1262.492477,1047.864716,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,5,2,6,19.6,AVAILABLE,3.5,1262.492477,1020.197205,1377.803513,1047.864716,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,5,3,6,24.9,NOT_AVAILABLE,,1377.803513,1020.197205,1493.114525,1047.864716,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,5,4,6,30.1,NOT_AVAILABLE,,1493.114525,1020.197205,1623,1047.864716,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,6,0,7,9.1,AVAILABLE,2.75,876,1047.864716,1150.898071,1075.532227,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,6,1,7,14.4,AVAILABLE,3.2,1150.898071,1047.864716,1262.492477,1075.532227,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_RIGHT_LATTICE_JIB_8M_20_DEG,6,2,7,19.6,AVAILABLE,3.4,1262.492477,1047.864716,1377.803513,1075.532227,TRUE,2026-09-13T19:50:00Z,Direct independent PDF review required; no parser value supplied.
