source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,0,0,3.0,9.1,,,240.0,1368.0,795.9474563598633,1411.2569274902344,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,0,1,3.0,14.4,,,795.9474563598633,1368.0,1031.7013549804688,1411.2569274902344,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,0,2,3.0,19.6,,,1031.7013549804688,1368.0,1545.0,1411.2569274902344,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,1,0,3.5,9.1,,,240.0,1411.2569274902344,795.9474563598633,1438.9244384765625,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,1,1,3.5,14.4,,,795.9474563598633,1411.2569274902344,1031.7013549804688,1438.9244384765625,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,1,2,3.5,19.6,,,1031.7013549804688,1411.2569274902344,1545.0,1438.9244384765625,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,2,0,4.0,9.1,,,240.0,1438.9244384765625,795.9474563598633,1466.5919494628906,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,2,1,4.0,14.4,,,795.9474563598633,1438.9244384765625,1031.7013549804688,1466.5919494628906,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,2,2,4.0,19.6,,,1031.7013549804688,1438.9244384765625,1545.0,1466.5919494628906,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,3,0,4.5,9.1,,,240.0,1466.5919494628906,795.9474563598633,1494.2594604492188,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,3,1,4.5,14.4,,,795.9474563598633,1466.5919494628906,1031.7013549804688,1494.2594604492188,false,,Direct independent PDF review required; no parser value supplied.
